
          epoch;     train_loss;       val_loss;             PA;         Recall;      Precision;             F1;     Train_Miou;       Val_Miou;          FWiou;
            128;       0.069992;       0.090951;        0.96401;         0.9576;        0.95453;        0.93628;        0.92892;          0.916;        0.93085;
            129;         0.0696;       0.088493;         0.9655;        0.96371;        0.95202;        0.94083;        0.92943;        0.91923;         0.9338;
            130;        0.06848;       0.089823;        0.96436;        0.95572;        0.95768;        0.93609;        0.93063;        0.91731;        0.93141;
            131;       0.066971;       0.086624;        0.96642;        0.95851;        0.95929;        0.93955;        0.93239;         0.9214;        0.93527;
            132;       0.067248;       0.095687;        0.96516;        0.95509;        0.95955;        0.93642;        0.93172;        0.91849;        0.93288;
            133;       0.071439;        0.19098;        0.91936;        0.93239;        0.88877;        0.87623;        0.92832;        0.83107;        0.85668;
            134;         0.0706;       0.089873;        0.96517;        0.95388;        0.96115;        0.93595;        0.92965;        0.91871;        0.93282;
            135;       0.068304;       0.094253;        0.96537;        0.95521;        0.95989;         0.9367;        0.93077;        0.91893;        0.93327;
            136;       0.068797;       0.099687;        0.96272;        0.95713;        0.95265;        0.93476;        0.93031;        0.91358;        0.92846;
            137;       0.067044;       0.089607;        0.96617;        0.95801;        0.95892;        0.93891;         0.9316;        0.92064;        0.93483;
            138;       0.065963;       0.087679;        0.96665;        0.95782;        0.96036;        0.93942;         0.9332;        0.92177;        0.93569;
            139;       0.066178;       0.090287;        0.96552;        0.95844;        0.95648;        0.93815;        0.93307;        0.91883;        0.93372;
            140;       0.070137;       0.094446;        0.96503;        0.95758;        0.95638;        0.93728;        0.92901;        0.91793;        0.93277;
            141;       0.066621;       0.083443;        0.96731;        0.95792;        0.96267;        0.94057;        0.93244;        0.92386;        0.93685;
            142;       0.064992;       0.086224;        0.96664;        0.96038;        0.95771;        0.94058;        0.93426;        0.92167;        0.93575;
            143;       0.061857;       0.094009;        0.96544;        0.95469;        0.96112;        0.93668;        0.93679;        0.91937;        0.93333;
            144;       0.063836;        0.11006;        0.95794;        0.95541;        0.94491;        0.92925;        0.93519;        0.90479;        0.91986;
            145;        0.06354;       0.087459;        0.96614;        0.95817;        0.95892;        0.93904;        0.93551;        0.92072;        0.93474;
            146;       0.063685;       0.090847;        0.96559;        0.95773;        0.95856;         0.9384;        0.93513;         0.9199;         0.9337;
            147;       0.067036;       0.091313;        0.96572;        0.95646;        0.95958;        0.93773;        0.93299;        0.91977;        0.93393;
            148;       0.064255;       0.087107;        0.96653;        0.95994;        0.95812;        0.94034;        0.93459;        0.92161;        0.93551;
            149;        0.06287;       0.088999;        0.96616;        0.96187;        0.95538;        0.94079;        0.93618;        0.92075;        0.93491;
            150;       0.062523;        0.12892;        0.94917;         0.9491;        0.93415;        0.91734;        0.93638;        0.88856;        0.90455;
            151;       0.062815;       0.091345;        0.96641;        0.95552;        0.96263;        0.93823;        0.93603;        0.92157;        0.93513;
            152;       0.061903;         0.0902;        0.96662;        0.95719;        0.96119;        0.93919;        0.93702;         0.9219;        0.93559;
            153;       0.062702;       0.085813;        0.96717;        0.96048;        0.95903;        0.94129;        0.93637;        0.92294;         0.9367;
            154;       0.061983;       0.077622;        0.96912;        0.96295;        0.96177;        0.94496;        0.93693;        0.92771;        0.94033;
            155;       0.062047;       0.080616;        0.96821;        0.96039;         0.9618;        0.94255;        0.93724;        0.92542;         0.9386;
            156;       0.062619;       0.092669;        0.96662;        0.95743;        0.96087;        0.93928;        0.93599;        0.92185;        0.93561;
            157;       0.060473;       0.090662;        0.96692;        0.95929;        0.95937;        0.94035;        0.93848;        0.92223;        0.93625;
            158;         0.0624;        0.09665;        0.96509;          0.958;        0.95674;        0.93781;        0.93628;        0.91854;        0.93282;
            159;       0.059796;       0.089906;        0.96728;        0.95896;        0.96048;        0.94058;        0.93859;        0.92296;         0.9369;
            160;        0.06312;       0.095113;        0.96469;        0.95281;        0.96098;        0.93488;        0.93609;        0.91763;        0.93192;
            161;       0.062544;       0.091028;        0.96624;        0.95521;        0.96265;        0.93792;        0.93609;        0.92125;         0.9348;
            162;       0.061933;       0.081491;        0.96788;         0.9613;        0.96024;        0.94265;        0.93688;        0.92478;          0.938;
            163;       0.060661;       0.088072;        0.96715;        0.96013;        0.95922;        0.94108;        0.93808;        0.92287;        0.93669;
